,MAE,RMSE,R2,WAPE,SMAPE,MAPE_nonzero
xgboost,1.1637585598369955,2.1564598904756687,0.7369691170294288,34.75547135533942,33.19163650818697,36.555368733846485
xgboost_smooth,1.1720394411915713,2.171071678507171,0.7333925400132859,35.00277861016746,33.46238272327844,36.73218707603929
xgboost_tweedie,1.181152061383693,2.207963710448417,0.7242548798104242,35.27492561813768,33.51693949095689,36.1652447939431
random_forest,1.400079638277658,2.856515305289303,0.5384730308167003,41.813164210082235,37.022828320286045,36.05206070391802
